epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.303,1.5061,2.48612,1.45624,0.6786,0.71233,0.78258,0.48196,1.28695,1.58934,1.2101,0.000367273,0.000367273,0.000367273
2,39.5952,1.25379,1.40131,1.22716,0.7927,0.77255,0.83491,0.53678,1.18338,1.17128,1.15858,0.000733955,0.000733955,0.000733955
3,59.9288,1.22305,1.19882,1.2045,0.75358,0.79595,0.82238,0.51563,1.15138,1.05647,1.13345,0.00109697,0.00109697,0.00109697
4,79.1073,1.20042,1.10494,1.18551,0.78341,0.83672,0.85555,0.57109,1.0857,0.96309,1.11496,0.0010945,0.0010945,0.0010945
5,98.4761,1.15627,0.9858,1.16803,0.85201,0.84269,0.87667,0.58641,1.05664,0.83372,1.09016,0.001089,0.001089,0.001089
6,118.837,1.12479,0.90502,1.14857,0.84239,0.86988,0.88534,0.61364,1.04053,0.79367,1.07191,0.0010835,0.0010835,0.0010835
7,136.919,1.09822,0.86191,1.13204,0.85653,0.86614,0.89131,0.59781,1.07617,0.76452,1.08375,0.001078,0.001078,0.001078
8,154.794,1.07481,0.81186,1.11728,0.8527,0.89147,0.90501,0.644,0.95838,0.71412,1.03921,0.0010725,0.0010725,0.0010725
9,172.732,1.05484,0.79932,1.11197,0.85415,0.89585,0.91524,0.65566,0.97182,0.69498,1.04108,0.001067,0.001067,0.001067
10,190.649,1.04647,0.75834,1.11166,0.84757,0.89495,0.90828,0.63308,0.97952,0.70024,1.05238,0.0010615,0.0010615,0.0010615
11,208.265,1.0382,0.73884,1.10404,0.84178,0.90604,0.9058,0.64879,0.95796,0.67195,1.0363,0.00105601,0.00105601,0.00105601
12,225.796,1.01362,0.73052,1.09649,0.85112,0.87762,0.90988,0.659,0.96466,0.69858,1.02823,0.00105051,0.00105051,0.00105051
